,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_pe
462,462,DRI,Consumer Discretionary,2021-12-17,2022,Q2,https://www.fool.com/earnings/call-transcripts/2021/12/17/darden-restaurants-inc-dri-q2-2022-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/DRI/2022/Q2/,18.010008
463,463,FDX,Industrials,2021-12-17,2022,Q2,https://www.fool.com/earnings/call-transcripts/2021/12/17/fedex-corporation-fdx-q2-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/FDX/2022/Q2/,11.514218
464,464,LEN,Consumer Discretionary,2021-12-16,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/12/16/lennar-len-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/LEN/2021/Q4/,5.2634897
465,465,ADBE,Information Technology,2021-12-16,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/12/16/adobe-inc-adbe-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ADBE/2021/Q4/,40.05289
466,466,ACN,Information Technology,2021-12-16,2022,Q1,https://www.fool.com/earnings/call-transcripts/2021/12/16/accenture-plc-acn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ACN/2022/Q1/,29.703527
467,467,NDSN,Industrials,2021-12-16,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/12/16/nordson-corporation-ndsn-q4-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/NDSN/2021/Q4/,27.24456
468,468,COST,Consumer Staples,2021-12-10,2022,Q1,https://www.fool.com/earnings/call-transcripts/2021/12/10/costco-wholesale-cost-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/COST/2022/Q1/,42.423473
469,469,ORCL,Information Technology,2021-12-10,2022,Q2,https://www.fool.com/earnings/call-transcripts/2021/12/10/oracle-orcl-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ORCL/2022/Q2/,19.64578
470,470,AVGO,Information Technology,2021-12-10,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/12/10/broadcom-ltd-avgo-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AVGO/2021/Q4/,38.842
471,471,LULU,Consumer Discretionary,2021-12-09,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/09/lululemon-athletica-lulu-q3-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/LULU/2021/Q3/,45.55022
472,472,HRL,Consumer Staples,2021-12-09,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/12/09/hormel-foods-corporation-hrl-q4-2021-earnings-call/,/Users/gyf/Desktop/earning call analysis/HRL/2021/Q4/,32.120483
473,473,BF.B,Consumer Staples,2021-12-08,2022,Q2,https://www.fool.com/earnings/call-transcripts/2021/12/08/brown-forman-corporation-bfb-q2-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/BF.B/2022/Q2/,0.0
474,474,CPB,Consumer Staples,2021-12-08,2022,Q1,https://www.fool.com/earnings/call-transcripts/2021/12/08/campbell-soup-company-cpb-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/CPB/2022/Q1/,16.236782
475,475,AZO,Consumer Discretionary,2021-12-07,2022,Q1,https://www.fool.com/earnings/call-transcripts/2021/12/07/autozone-inc-azo-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AZO/2022/Q1/,19.703127
476,476,DOCU,Information Technology,2021-12-06,2022,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/06/docusign-docu-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DOCU/2022/Q3/,0.0
477,477,KR,Consumer Staples,2021-12-03,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/03/kroger-kr-q3-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/KR/2021/Q3/,40.056602
478,478,COO,Health Care,2021-12-03,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/12/03/the-cooper-companies-coo-q4-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/COO/2021/Q4/,5.5208755
479,479,MRVL,Information Technology,2021-12-03,2022,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/03/marvell-technology-group-mrvl-q3-2022-earnings-cal/,/Users/gyf/Desktop/earning call analysis/MRVL/2022/Q3/,0.0
480,480,ULTA,Consumer Discretionary,2021-12-03,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/03/ulta-beauty-ulta-q3-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ULTA/2021/Q3/,25.293533
481,481,DG,Consumer Discretionary,2021-12-02,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/02/dollar-general-corporation-dg-q3-2021-earnings-cal/,/Users/gyf/Desktop/earning call analysis/DG/2021/Q3/,22.905386
482,482,SPLK,Information Technology,2021-12-02,2022,Q3,https://www.fool.com/earnings/call-transcripts/2021/12/02/splunk-splk-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SPLK/2022/Q3/,0.0
