,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_eps
97,97,SGEN,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/seagen-inc-sgen-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SGEN/2022/Q1/,-1.838
98,98,AMZN,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/amazon-amzn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AMZN/2022/Q1/,51.099
99,99,MA,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/mastercard-ma-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MA/2022/Q1/,9.61
100,100,INTC,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/intel-intc-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/INTC/2022/Q1/,6.023
101,101,VRSN,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/verisign-vrsn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/VRSN/2022/Q1/,7.11
102,102,NOC,Industrials,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/northrop-grumman-noc-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/NOC/2022/Q1/,36.218
103,103,LLY,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/eli-lilly-and-company-lly-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/LLY/2022/Q1/,6.728
104,104,TMO,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/thermo-fisher-scientific-tmo-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/TMO/2022/Q1/,19.186
105,105,LH,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/laboratory-corporation-of-america-lh-q1-2022-earni/,/Users/gyf/Desktop/earning call analysis/LH/2022/Q1/,21.783
106,106,MO,Consumer Staples,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/altria-group-mo-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MO/2022/Q1/,1.494
107,107,PHM,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/pultegroup-phm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PHM/2022/Q1/,6.465
108,108,IRM,Real Estate,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/iron-mountain-irm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/IRM/2022/Q1/,2.197
109,109,SIRI,Communication Services,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/sirius-xm-holdings-inc-siri-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/SIRI/2022/Q1/,0.077
110,110,MRK,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/merck-co-mrk-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MRK/2022/Q1/,2.834
111,111,TXT,Industrials,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/textron-txt-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/TXT/2022/Q1/,3.4
112,112,LKQ,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/lkq-lkq-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/LKQ/2022/Q1/,3.436
113,113,RTX,Industrials,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/raytheon-technologies-rtx-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/RTX/2022/Q1/,2.2
114,114,EQIX,Real Estate,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/equinix-eqix-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/EQIX/2022/Q1/,4.743
115,115,APH,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/amphenol-aph-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/APH/2022/Q1/,2.38
116,116,LVS,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/las-vegas-sands-lvs-q1-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/LVS/2022/Q1/,2.418
117,117,ALGN,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/align-technology-algn-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/ALGN/2022/Q1/,8.883
118,118,QCOM,Information Technology,2022-04-27,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/04/27/qualcomm-qcom-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/QCOM/2022/Q2/,9.761
119,119,F,Consumer Discretionary,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/ford-f-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/F/2022/Q1/,2.87
120,120,HOLX,Health Care,2022-04-27,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/04/27/hologic-holx-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/HOLX/2022/Q2/,6.055
121,121,FB,Communication Services,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/meta-platforms-inc-fb-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/FB/2022/Q1/,13.214
